"Antonio Valencia","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Rafael Marquez","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Marco Fabian","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Nicolas Nemeth","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Mo Salah","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"James Rodriguez","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Arturo Vidal","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Luis Romo","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Orbelin Pineda","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Cesar Montes","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Mateo Chavez","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Jesus Gallardo","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Guillermo Ochoa","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Jesus Corona","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Moises Munoz","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Diego Molina","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Peter Parker","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""
"Barack Obama","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification",""

"Audit Events"
"Metric","Count"
"Total Events","3090"
"Events Last 30 Days","3006"
